Stock,Expiry,Type,Moneyness,Spot (S),Strike (K),RFR (r),Vol (Hist),Vol (GARCH),T (Years),d1,d2,N(d1),N(d2),Market Price,BSM (Hist),BSM (GARCH)
HDFCBANK,28-Apr-2026,Call,ATM (±2%),810.0,810.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.03561643835616438,0.09031220807013905,0.05765701567185434,0.5359804404202815,0.5229890833859978,19.0,11.54522484055417,28.46606518281658
HDFCBANK,28-Apr-2026,Call,OTM (5-10%),810.0,875.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.03561643835616438,-2.2734661996536056,-2.30612139205189,0.011499050380806956,0.010551925154100803,3.0,0.10357597527005247,7.4818238940239326
HDFCBANK,28-Apr-2026,Put,ATM (±2%),810.0,810.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.03561643835616438,0.09031220807013905,0.05765701567185434,0.5359804404202815,0.5229890833859978,19.0,9.590641704389668,26.51148204665219
HDFCBANK,28-Apr-2026,Put,OTM (5-10%),810.0,750.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.03561643835616438,2.4470902725647443,2.41443508016646,0.9927992618198126,0.9921201844266504,3.7,0.06300287013846617,6.272213945670131
HDFCBANK,26-May-2026,Call,ATM (±2%),810.0,810.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.11232876712328767,0.16038609473264762,0.10239350554208568,0.5637115286904202,0.5407778307969681,31.7,21.901240688453356,51.77557798915825
HDFCBANK,26-May-2026,Call,OTM (5-10%),810.0,875.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.11232876712328767,-1.1706398133792852,-1.2286324025698472,0.12087179348691046,0.10960483051056058,10.05,2.7299042155200226,26.65161083692999
HDFCBANK,26-May-2026,Put,ATM (±2%),810.0,810.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.11232876712328767,0.16038609473264762,0.10239350554208568,0.5637115286904202,0.5407778307969681,29.6,15.7527907975674,45.62712809827241
HDFCBANK,26-May-2026,Put,OTM (5-10%),810.0,745.0,0.0678333333333333,0.17303222922505193,0.45124868509212057,0.11232876712328767,1.6028122815002943,1.5448196923097324,0.9455119477416124,0.938805058655522,8.6,1.1088481665742833,19.59933867140421
NESTLEIND,28-Apr-2026,Call,ATM (±2%),1256.9,1260.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.03561643835616438,0.0135323884583011,-0.01666913604630848,0.5053984771438251,0.49335028480320775,26.2,15.114000187429497,16.245406447897153
NESTLEIND,28-Apr-2026,Call,OTM (5-10%),1256.9,1350.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.03561643835616438,-2.270884461969936,-2.3010859864745457,0.011576986556230412,0.01069338563504976,2.75,0.14987898059344928,0.2533821991799776
NESTLEIND,28-Apr-2026,Put,ATM (±2%),1256.9,1260.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.03561643835616438,0.0135323884583011,-0.01666913604630848,0.5053984771438251,0.49335028480320775,28.55,15.173537531173338,16.304943791640994
NESTLEIND,28-Apr-2026,Put,OTM (5-10%),1256.9,1170.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.03561643835616438,2.4673148835244345,2.437113359019825,0.9931934705635079,0.9925974813199879,4.6,0.08492057396476937,0.1518250984723153
NESTLEIND,26-May-2026,Call,ATM (±2%),1256.9,1270.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.11232876712328767,-0.02443421599993216,-0.07806931887002005,0.49025312802279186,0.46888645633978965,35.0,25.23349854090293,27.242500695107992
NESTLEIND,26-May-2026,Call,OTM (5-10%),1256.9,1350.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.11232876712328767,-1.1633840587512643,-1.2170191616213522,0.12233685719319404,0.11179846271681748,13.05,3.9829165482427413,5.056209920052112
NESTLEIND,26-May-2026,Put,ATM (±2%),1256.9,1240.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.11232876712328767,0.4212724122031885,0.3676373093331006,0.6632219135423494,0.6434281543301484,30.0,15.496500014160063,17.34527514243956
NESTLEIND,26-May-2026,Put,OTM (5-10%),1256.9,1170.0,0.0678333333333333,0.1600308167623023,0.1719879222728429,0.11232876712328767,1.5046604863908333,1.4510253835207454,0.9337943066027505,0.926613603938913,18.7,1.9963958576793885,2.695927377571323
